,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,108.6944808959961,128.260986328125,37.50764083862305,205.1999969482422,118.9000015258789,147.77999877929688,42.0099983215332,205.1999969482422,119.19000244140625,148.25,42.119998931884766,205.97999572753906,115.55999755859375,139.6300048828125,40.790000915527344,196.5,116.31999969482422,139.69000244140625,40.93000030517578,201.07000732421875,84436400,15161700,63585300,3548100
2015-01-30,107.10383605957031,126.1693115234375,36.0701904296875,203.60000610351562,117.16000366210938,145.3699951171875,40.400001525878906,203.60000610351562,120.0,146.85000610351562,41.58000183105469,207.47000122070312,116.8499984741211,144.3699951171875,40.349998474121094,203.0,118.4000015258789,146.22000122070312,41.54999923706055,203.9600067138672,83745500,11271100,78004900,3007000
2015-02-02,108.44766235351562,126.94174194335938,36.85588073730469,210.94000244140625,118.62999725341797,146.25999450683594,41.279998779296875,210.94000244140625,119.16999816894531,146.58999633789062,41.369998931884766,211.9499969482422,116.08000183105469,143.0500030517578,40.22999954223633,203.3000030517578,118.05000305175781,143.72000122070312,40.59000015258789,203.97000122070312,62739100,6790900,50352500,4149200
2015-02-03,108.46593475341797,127.87911224365234,37.1415901184082,218.36000061035156,118.6500015258789,147.33999633789062,41.599998474121094,218.36000061035156,119.08999633789062,148.0,41.93000030517578,220.3699951171875,117.61000061035156,146.17999267578125,41.04999923706055,211.27000427246094,118.5,146.3699951171875,41.630001068115234,213.22000122070312,51915700,5978200,52082400,4826200
2015-02-04,109.29783630371094,127.77494812011719,37.355857849121094,218.5500030517578,119.55999755859375,147.22000122070312,41.84000015258789,218.5500030517578,120.51000213623047,148.38999938964844,42.209999084472656,221.47999572753906,118.30999755859375,145.92999267578125,41.36000061035156,216.8000030517578,118.5,145.97000122070312,41.939998626708984,218.2899932861328,70149700,4766200,41614800,3305400
2015-02-05,110.07794189453125,128.97268676757812,37.900489807128906,220.99000549316406,119.94000244140625,148.60000610351562,42.45000076293945,220.99000549316406,120.2300033569336,148.8699951171875,42.63999938964844,225.47999572753906,119.25,146.4600067138672,41.86000061035156,219.63999938964844,120.0199966430664,147.25999450683594,42.220001220703125,219.8800048828125,42246200,4252600,36548200,3522900
2015-02-06,109.1509780883789,128.4519500732422,37.864768981933594,217.36000061035156,118.93000030517578,148.0,42.40999984741211,217.36000061035156,120.25,148.88999938964844,42.790000915527344,223.39999389648438,118.44999694824219,147.6999969482422,42.150001525878906,216.5,120.0199966430664,148.6199951171875,42.68000030517578,222.0,43706600,4398800,34616600,3243900
2015-02-09,109.87602233886719,128.08741760253906,37.82012939453125,217.47999572753906,119.72000122070312,147.5800018310547,42.36000061035156,217.47999572753906,119.83999633789062,148.16000366210938,42.7400016784668,217.92999267578125,118.43000030517578,145.6300048828125,42.209999084472656,211.99000549316406,118.55000305175781,146.16000366210938,42.2400016784668,215.3800048828125,38889800,4202900,31381100,3472400
2015-02-10,111.98690032958984,128.48663330078125,38.0344123840332,216.2899932861328,122.0199966430664,148.0399932861328,42.599998474121094,216.2899932861328,122.1500015258789,148.7100067138672,42.77000045776367,220.5,120.16000366210938,147.5,42.18000030517578,215.0,120.16999816894531,148.1999969482422,42.7400016784668,217.5500030517578,62008500,4034900,29670700,5390500
2015-02-11,114.61176300048828,129.176513671875,37.83798599243164,212.8000030517578,124.87999725341797,147.9199981689453,42.380001068115234,212.8000030517578,124.91999816894531,148.3800048828125,42.650001525878906,214.74000549316406,122.5,147.08999633789062,42.209999084472656,207.27999877929688,122.7699966430664,147.50999450683594,42.650001525878906,212.2100067138672,73561800,3272700,38262500,9769100
